timestamp,elapsed_seconds,operations,operations_per_second
1765717751.297759,0.009304,7,752.36
1765717751.301138,0.012660,8,631.93
1765717751.305133,0.016669,9,539.91
1765717751.309245,0.020782,10,481.18
1765717751.313649,0.025195,11,436.59
1765717751.318602,0.030136,12,398.20
1765717751.323782,0.035325,13,368.01
1765717751.330847,0.042361,14,330.49
1765717751.336672,0.048203,15,311.18
1765717751.345280,0.056808,16,281.65
1765717751.355887,0.067415,17,252.17
1765717751.366784,0.078309,18,229.86
1765717751.378780,0.090293,19,210.43
1765717751.390663,0.102186,20,195.72
1765717751.403222,0.114745,21,183.02
1765717751.415953,0.127486,22,172.57
1765717751.430087,0.141593,23,162.44
1765717751.443196,0.154713,24,155.13
1765717751.457309,0.168835,25,148.07
1765717751.471583,0.183090,26,142.01
1765717751.486436,0.197956,27,136.39
1765717751.501566,0.213081,28,131.41
1765717751.517152,0.228677,29,126.82
1765717751.533603,0.245117,30,122.39
1765719463.799628,0.005890,1,169.77
1765719463.812600,0.019967,2,100.16
1765719463.828198,0.035565,3,84.35
1765719463.851593,0.058962,4,67.84
1765719463.880266,0.087600,5,57.08
1765719463.913042,0.120400,6,49.83
1765719463.945923,0.153290,7,45.67
1765719463.997634,0.205002,8,39.02
1765719464.073623,0.280962,9,32.03
1765719464.143250,0.350628,10,28.52
1765719464.218668,0.426039,11,25.82
1765719464.296053,0.503415,12,23.84
1765719464.383210,0.590555,13,22.01
1765719464.472676,0.680027,14,20.59
1765719464.567470,0.774833,15,19.36
1765719464.707528,0.914879,16,17.49
1765719464.880708,1.088069,17,15.62
1765719465.062205,1.269562,18,14.18
1765719465.251011,1.458373,19,13.03
1765719465.442184,1.649542,20,12.12
1765719465.648472,1.855846,21,11.32
1765719465.864059,2.071409,22,10.62
1765719466.088655,2.296010,23,10.02
1765719466.294981,2.502342,24,9.59
1765719466.520007,2.727367,25,9.17
1765719466.746925,2.954272,26,8.80
1765719466.986900,3.194255,27,8.45
1765719467.231164,3.438516,28,8.14
1765719467.491251,3.698588,29,7.84
1765719467.749002,3.956364,30,7.58
1765722705.180397,0.007179,1,139.30
1765722705.196177,0.023471,2,85.21
1765722705.212072,0.039387,3,76.17
1765722705.236020,0.063344,4,63.15
1765722705.262208,0.089529,5,55.85
1765722705.289333,0.116645,6,51.44
1765722705.320129,0.147451,7,47.47
1765722705.371282,0.198588,8,40.28
